pi_system_time_s,status_code,uwb_data.local_node.id,uwb_data.local_node.role,uwb_data.anchor_info.anchor_count,dis_0,dis_1,dis_2,dis_3,imu_data.IMU_temp,imu_data.accX,imu_data.accY,imu_data.accZ,imu_data.gyroX,imu_data.gyroY,imu_data.gyroZ,imu_data.MagX,imu_data.MagY,imu_data.MagZ,imu_data.magX,imu_data.magY,imu_data.magZ,imu_data.roll,imu_data.tilt,imu_data.pan,imu_data.Qw,imu_data.Qx,imu_data.Qy,imu_data.Qz,imu_data.timestamp,imu_data.readtime
1742703764.722030,,0,Tag,4,5.954,3.698,3.623,6.178,,9.703992,-1.149525,0.10121,0.06804200000000000,0.033070000000000000,0.115895,-1295.365376,-478.739264,358.13776000000000,-1294.5,-462.0,382.5,-83.245136,84.885848,139.56968,-0.23002200000000000,0.634289,0.30403000000000000,0.6725560000000000,59527.095,59529.478
1742703764.742440,,0,Tag,4,6.02,3.684,3.562,6.214,,9.695437,-1.1563570000000000,0.105462,0.11007500000000000,-0.016282000000000000,0.099951,-1289.3685760000000,-483.30211200000000,359.448288,-1288.5,-466.5,384.0,-83.244576,84.8916,139.565024,-0.23002300000000000,0.634288,0.304041,0.672551,59547.095,59549.516
1742703764.760760,,0,Tag,4,5.935,3.656,3.609,6.184,,9.717078000000000,-1.1493260000000000,0.104949,0.050128,-0.073174,0.11148800000000000,-1292.379776,-482.00620800000000,364.00377600000000,-1291.5,-465.0,388.5,-83.244688,84.891936,139.564528,-0.23002300000000000,0.634289,0.304039,0.672551,59567.095,59569.479
1742703764.781180,,0,Tag,4,5.98,3.694,3.633,6.225,,9.727752000000000,-1.141937,0.108384,0.033172,0.0006,0.043991000000000000,-1286.365184,-480.237664,358.09225600000000,-1285.5,-463.5,382.5,-83.24471200000000,84.89412,139.56168,-0.230018,0.634292,0.304036,0.672551,59587.095,59589.48
1742703764.801610,,0,Tag,4,5.913,3.696,3.598,6.189,,9.701124,-1.14873,0.103309,-0.072748,-0.07238400000000000,0.11105,-1286.357632,-483.099584,354.960352,-1285.5,-466.5,379.5,-83.244112,84.89192,139.56249600000000,-0.230008,0.634293,0.304031,0.672557,59607.095,59609.515
1742703764.822030,,0,Tag,4,5.983,3.734,3.541,6.155,,9.689722,-1.1554880000000000,0.103684,-0.072419,-0.00079,0.09636400000000000,-1289.346176,-485.89395200000000,350.32272,-1288.5,-469.5,375.0,-83.24372800000000,84.89553600000000,139.55865600000000,-0.23000300000000000,0.634294,0.304033,0.6725560000000000,59627.095,59629.481
1742703764.841400,,0,Tag,4,5.985,3.67,3.635,6.207,,9.705189000000000,-1.151872,0.102514,-0.07232900000000000,-1E-04,0.07878100000000000,-1293.853568,-486.02899200000000,353.30857600000000,-1293.0,-469.5,378.0,-83.24323200000000,84.892,139.561056,-0.22999500000000000,0.634294,0.30402800000000000,0.672562,59647.095,59649.479
1742703764.861830,,0,Tag,4,6.013,3.687,3.588,6.187,,9.722086,-1.149603,0.103574,0.053949,-0.043180000000000000,0.07046,-1290.857728,-480.10265600000000,355.08435200000000,-1290.0,-463.5,379.5,-83.242144,84.889816,139.562976,-0.229988,0.634289,0.30403200000000000,0.672566,59667.095,59669.515
1742703764.882270,,0,Tag,4,5.959,3.673,3.598,6.236,,9.712329,-1.146132,0.095167,0.067953,0.032381,0.13347800000000000,-1278.857984,-480.10265600000000,355.113728,-1278.0,-463.5,379.5,-83.242656,84.88860800000000,139.56552,-0.22999900000000000,0.6342870000000000,0.304036,0.672563,59687.095,59689.482
1742703764.901640,,0,Tag,4,5.937,3.677,3.605,6.169,,9.700405,-1.147092,0.10227700000000000,0.067922,-0.002381,0.114447,-1290.8611840000000,-483.16707200000000,356.447776,-1290.0,-466.5,381.0,-83.24332800000000,84.882792,139.572016,-0.230009,0.6342830000000000,0.304035,0.6725640000000000,59707.095,59709.482
